Use Case ID,Use Case Name,Agency,Component,Use Case Topic Area,Other (Use Case Topic Area),Is the AI use case found in the below list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Stage of Development,"Is the AI use case rights-impacting, safety-impacting, both, or neither?"
VA-2463, Using AI to weekly monitoring of any harms resulting from the use of newly implemented electronic health record system – FEHR across VA,VA,VHA: Veterans Health Administration,Mission-Enabling (internal agency support),,None of the Above,This AI based monitoring system will be used to inform and improve the EHR system and it's functionalities to prevent and mitigate any patient safety events.,Classification of harm categories from EHR,Initiated,Neither
VA-2500,Podimetrics,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"Our involvement with Podimetrics is limited to receiving and processing escalation reports generated by their SmartMat system. Podimetrics’ platform uses its proprietary technology, to generate these reports. However, our role does not involve developing, deploying, or controlling  AI systems. Instead, we serve as a conduit, ensuring that these escalation reports are shared with the appropriate clinicians to facilitate timely and informed care for Veterans.","Our interaction with the Podimetrics platform is strictly limited to data transfer and integration of the generated reports. We do not engage with their proprietary technology, or decision-making processes inherent in the Podimetrics platform. Our role is supportive and integration-focused, solely aimed at ensuring seamless communication and clinical follow-up based on the provided reports.",Operation and Maintenance,Both
VA-2504,Thematic Analysis of Chief Resident in Quality and Patient Safety (CRQS) Capstone Projects Using BERT Modeling,VA,VHA: Veterans Health Administration,Mission-Enabling (internal agency support),,None of the Above,"The intended purpose of the AI is to perform a detailed thematic analysis of CRQS capstone projects to identify key themes and trends, with the expected benefit of enhancing the national curriculum for quality and patient safety in healthcare.","The AI system's outputs will be categorized themes, patterns, and trends derived from the analysis of CRQS capstone projects, which will inform curriculum development and improvement strategies.",Initiated,Neither
VA-2508,My HealtheVet VSignals Main Improvement Summary,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"My HealtheVet is the VHA patient portal to access to refill medications, secure message with care teams, access medical records and view appointment information.  To ensure Veterans are being provided the best patient portal experiences, My HealtheVet collects many surveys (over 26k a month).  AI provides initial summarizing and grouping functions for open-text questions to identify trending issues and new features requested.  Rather than having humans read each comment and manually sorting, AI enhances trend identification and resource prioritization.","Veteran feedback is stripped of PII and then sorts comments based on product area, summary is primarily based on how often key words are mentioned.",Operation and Maintenance,Neither
VA-2512,ESD-Speech Sentiment and Analytics,VA,OIT: Office of Information & Technology,Mission-Enabling (internal agency support),,Transcribing and summarizing a recorded meeting or interview using AI.,Utilizing AI to analyze speech sentiment of internal customers (non-veterans) to improve quality of service at the Enterprise Service Desk.,Various reports and dashboards for ESD leadership and the Tier 1 vendor partner to assess quality of service.  The AI component makes it possible to assess and analyze all contacts with the ESD as opposed to the ~2% of contacts we can assess today using manual approaches.,Initiated,Neither
VA-2545,Privacy Act Automation Services - Disclosure.AI,VA,VBA: Veterans Benefits Administration,Government Services (includes Benefits and Service Delivery),,None of the Above,"The PAA System will automate PA workflows that are currently highly manual. Automating PA processing will benefit Veterans by decreasing the time they have to wait to receive requested records, and it will benefit the VA by reducing the time that staff need to support PA request processing. Tools/techniques that may be categorized as AI improve the automated processing that provide these benefits, but AI technology is ancillary to other technology utilized in the PAA system. Machine learning is used to identify specific documents (DD-214, Decision Letters, Service Records, etc.) and AI is used to improve and expedite data extraction as well as identify and apply automated redactions. The process is designed with Human in the Loop (HITL) and Government in the Loop (GITL) roles.","The PAA System automates the process of ingesting PA requests, retrieving requested records, and redacting requested records when necessary. The outputs of the PAA System are reviewed by Deloitte’s managed service team and by the VA for accuracy and completeness before the requested records are sent to the requester. The outputs consist of records held by VBA within Claim Evidence (VBMS) that have appropriate redactions applied for 3rd party information before release to the 1st party requestor or their designee.",Implementation and Assessment,Neither
VA-2549,Sentiment analysis for app feedback,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"Functional Overview: The objective is to perform sentiment analysis on text reviews to classify their content as positive, negative, or neutral, and to provide a processed dataset for further downstream analytics.
 
System Overview: The system uses a trained model, derived from an open-source model and fine-tuned for the specific dataset, to analyze text reviews from various sources, including external sources (Google and Apple stores) and internal sources (FeedbackUI and VA Mobile). The model classifies reviews as positive, negative, or neutral.
 
Data: The data sources include:
 
Text reviews from the VA's mobile applications on the Google and Apple stores (external sources)

Reviews from FeedbackUI (internal source, available in the OIA_MobileHealth database)

Reviews from VA Mobile (internal source, available via CSV files on the Mobile VA's internal website)

Users: The users of this system are likely the OCC Data Science Team, who are responsible for developing and maintaining the pipeline.
 
Target Audience: The target audience OCC mobile application developers and internal stakeholders who may be interested in analyzing and understanding the sentiment and feedback from these reviews.
 ","perform sentiment analysis on text reviews to classify their content as positive, negative, or neutral, and to provide a processed dataset for further downstream analytics.",Operation and Maintenance,Neither
VA-2553,ESD-Predictive Intelligence,VA,OIT: Office of Information & Technology,Mission-Enabling (internal agency support),,None of the Above,The intended purpose is to leverage Machine Learning on existing ticketing data supporting internal customers (non-veterans) to reduce mean time to resolution for internal customers while also increasing ticket routing accuracy and identifying major incidents more quickly as they occur.,Outputs involve pre-populated assignment groups in tickets within the ServiceNow IT Service Management platform to provide more accurate ticket routing and dashboard information for Incident Management staff to review highlighting potential major incidents beginning to occur in the environment.,Initiated,Neither
VA-2582,AI Health Coach,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,The Health Coach and AI components are different. The Health Coach helps improve adherence by sending evidence based nudges (this doesn't involve AI). The AI makes the health coach more effective by adjusting the number of nudges sent to the engagement of the Veteran.,"The Health Coach has a pre-selected decision tree (ex: did you miss your medication -> if yes, how many medications did you miss -> did you miss them because you ran out of refills). The AI simply helps determine how often to send those nudges based on response rates.",Operation and Maintenance,Neither
VA-2623,Verathon Prime Plus,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,It's a bladder scanner.  The AI component is used in relation with detection of bladder.  It's aim is to increase accuracy.,It outputs assisted measurements related to bladder size and shape.,Operation and Maintenance,Both
VA-2672,App Feedback categorization model,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"Functional Overview: The objective is to categorize review texts into specific categories to provide more granularity and enable users to identify trends and perform analytics on the data.
 
System Overview: The system uses a trained open-source model that has been fine-tuned on the app feedback data to categorize review texts into specific categories, including Tech, Usability, Content, Idea, and Other.
 
Data: The data sources include:
 
Text reviews from the VA's mobile applications on the Google and Apple stores (external sources)

Reviews from FeedbackUI (internal source, available in the OIA_MobileHealth database)

Reviews from VA Mobile (internal source, available via CSV files on the Mobile VA's internal website)

Users: The users of this system are likely the OCC Data Science Team, who are responsible for developing and maintaining the pipeline.
 ",The objective is to categorize review texts into specific categories to provide more granularity and enable users to identify trends and perform analytics on the data.,Operation and Maintenance,Neither
VA-2713,LINQ and  LINQ II Loop Recorder ,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Implantable heart monitoring device. This continuously checks the heart rhythm and rate.  ,The information (recordings) are remotely transmitted and recorded for interpretation by a Medical provider.,Operation and Maintenance,Both
VA-2717,VA.gov Chatbot: Use of AI for summative and/or intent classification of Va.gov content,VA,OIT: Office of Information & Technology,Government Services (includes Benefits and Service Delivery),,None of the Above,"The VA.gov Chatbot currently uses Natural Language Understanding (primarily driven by Microsoft Power Virtual Agents (PVA) and Custom Question Answer (CQA)) to interpret Veterans' intent and match it to responses within the knowledge base.

The future state vision for the VA’s chatbot solution involves leveraging advanced AI services and capabilities to increase the breadth of questions that the Chatbot will be able answer, to improve the accuracy of each answer, and in cases of necessary channel escalation, to accurately match user utterances to contact center routing queues.",Input: Understanding user intent: Copilot can determine what the user is trying to accomplish based on their query. Output: Generating relevant responses: The AI can then provide a suitable response or action based on the user's intent.,Operation and Maintenance,Neither
VA-2754,ZIO PATCH HEART MONITOR,VA,VHA: Veterans Health Administration,Health & Medical,,Creating visual representations of data sets for reports and presentations using AI.,Records the heart rate and rhythm for up to 14 days to diagnose arrhythmias and any other electrical conduction issues.,N/A,Operation and Maintenance,Both
VA-2758,Caller intent classification using Google Dialogflow (VoiceBot),VA,OIT: Office of Information & Technology,Government Services (includes Benefits and Service Delivery),,Searching for information using AI.,"This project is part of the Unified Communications goal of modernizing call centers. AI (as NLU/NLP) can expedite triage, improve caller-to-agent matching, and handle routine tasks (through APIs) without agent support. ","Mainly conversational output. The VoiceBot will act as a caller-concierge, helping Veterans locate the right agent and/or solve tasks (e.g., claims status checks). Conversational scripts, including intents, entities and slots will be stored in CXI and/or other databases (e.g., Clarabridge) standard to VA call centers today.",Acquisition and/or Development,Safety-impacting
VA-2791,Ordr,VA,VHA: Veterans Health Administration,Health & Medical,,Searching for information using AI.,Ordr SCE Analytics employs advanced artificial intelligence and machine learning (AI/ML) technologies to further assist in the classification of local networked devices required for accurate device inventory. AI/ML enhances and accelerates the classification process by identifying specific behavior patterns that are unique to certain devices. These passive classification techniques are minimally invasive and do not rely on active scanning methods which are often disruptive to sensitive business-critical IoT devices.,Only network device metadata is forwarded to the SCE Analytics server. Sensitive data such as PHI is immediately discarded so that only metadata which contains information pertinent to device identification is forwarded.,Operation and Maintenance,Neither
VA-2795,Machine Algorithm for Report Surveillance (MARS),VA,OEHRM: Office of Electronic Health Record Modernization,Health & Medical,,Searching for information using AI.,The purpose of the MARS tool is to identify end-user submitted federal EHR incident reports that are likely to affect patient safety.  The MARS tool will augment the existing manual incident report review process.       ,The output of the system is a list of ServiceNow tickets that require human review to validate the MARS determination that the issue described in the ticket is a patient safety issue.,Initiated,Neither
VA-2828,Pharmacy AI Managed Inventory System (PHAIMIS),VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"PHAIMIS will be an AI-powered inventory management system to centralize and optimize inventory processes within the VA Pharmacy Service. This system will integrate AI and data analytics to streamline inventory management, provide real-time notifications, and enhance user experience through seamless integration into existing workflows.","System outputs will include demand forecasting, procurement strategy optimization, and dynamic inventory thresholds.  It may also include anomaly detection alerts and other features.",Initiated,Safety-impacting
VA-2836,Silverberry Surgery Planning AI,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"Assist in planning and operations in the perioperative process including sps, supplies, personell requirements and patinet planning. ",Output will be multiple AI agents responsible for various tasks related to the peri operative process.,Acquisition and/or Development,Both
VA-2869,ICU CIS/ARK PDF Medical Entity and Clinical Scoring Extraction (PHI 3.5 LLM),VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"Extract clinical data elements from unstructured clinical note text into structured and semi-structured formats, mapping to standardized terminologies, thus making unstructured note text available to downstream analytics processes and clinical information systems.","Extracted data elements in structured and semi-structured formats, and mappings to standardized terminologies such as SNOMED, LOINC, ICD-10 and RxNorm.",Acquisition and/or Development,Safety-impacting
VA-2910,BlueTeam AI,VA,VHA: Veterans Health Administration,Mission-Enabling (internal agency support),,Identifying unusual patterns in system logs from a single incident report using AI.,BlueTeam AI enables network monitoring capabilities to provide governance and guardrails for LLM Generative AI use for the enterprise.,The system outputs only approved data and data categories to LLM as well as outputs a return notification to the user for any violations.,Implementation and Assessment,Neither
VA-3004,"OAWP Investigative, Analytics, and Reporting Capabilities",VA,OAWP: Office of Accountability and Whistleblower Protection,Mission-Enabling (internal agency support),,Transcribing and summarizing a recorded meeting or interview using AI.,"We are in the initial phases of prototyping an audio transcription application using Azure AI Speech Services.  The goal of this project is to provide a streamlined means for OAWP investigators to receive transcripts of subject interviews.
 
Additionally, OAWP's Compliance Analytics and Reporting Division has long-term goals to use a supervised machine learning model to classify external oversight entity reports.  They are also evaluating opportunities to use deep learning models to explore data, and identify trends and anomalies.","Enhanced Analytics, Reporting, and Transcription Services.",Initiated,Neither
VA-3033,Multi-Modal Digital Image Exchange - AI (MDIE-AI),VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,It creates an AI driven orchestration layer and generative AI summary for  automating computer vision models with saved dicom diagnostic images.,The system will output the results of each model into a generated summary PDF that is available for review directly from the dicom file.,Acquisition and/or Development,Safety-impacting
VA-3045,VA Supply Chain Knowledge Management Dashboard,VA,VHA: Veterans Health Administration,Mission-Enabling (internal agency support),,Searching for information using AI.,"The goal is to leverage already existing Power BI tools to enhance search and learning capabilities. 
The Power BI dashboards are for internal VALOR mission topics that require timely and more precise knowledge management (KM) and lessons learned output from publicly available documentation (ex. congressional reports). 

THIS CAPABILITY IS NOT RIGHTS OR SAFETY IMPACTING AS IT DOES NOT ACCESS ANY INDIVIDUALS INFORMATION.","This involves enabling a knowledge management strategy that includes advanced data analysis tools (AI and ML) from Power BI stakeholder engagement for validation, dynamic dashboards for knowledge sharing, and continuous improvement processes. This strategy ensures that knowledge is effectively captured, validated, shared, and utilized to drive continuous improvement and mitigate risks.   The expected impact includes internal mission use by VALOR for improved risk mitigation, enhanced collaboration, and continuous process improvement.  And the overall outputs are only data provided by the public documents.",Acquisition and/or Development,Neither
VA-3082,Clinical outcomes for asynchronous teledermatology,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Determine clinical outcomes of patients with skin disease for research and QI purposes.,"Classify dermatology progress notes into 6 classes:  Resolved, improved, unchanged (clinically significant), unchanged (not clinically significant), worse, and No outcome stated.",Acquisition and/or Development,Neither
VA-3086,VA TryOpenAI,VA,OIT: Office of Information & Technology,Mission-Enabling (internal agency support),,None of the Above,"TryOpenAI aims to improve VA employee efficiency and satisfaction. TryOpenAI can be used complete basic administrative tasks like drafting emails and communications, summarizing long text, and draft template project plans (among other similar uses). ","Tasks pilot users use TryOpenAI for    Writing Enhancement and Communication Support:  - Drafting and editing professional emails, letters of recommendation, and narrative write-ups.  - Generating and refining performance appraisals, award write-ups, and administrative correspondence.  - Summarizing large documents including meeting transcripts and project reports for email announcements    Administrative Task Automation:  - Streamlining the creation of meeting minutes to improve efficiency in documentation workflows.  - Automating responses for customer service inquiries or generating template-based outputs for routine tasks.  - Organizing thoughts and prioritizing information to aid in decision-making    Creative and Technical Problem Solving:  - Brainstorming ideas for project development and strategy formulation.  - Assisting with technical problems such as understanding PowerShell scripting or SQL configuration settings.  - Designing website layouts, drafting emails with complex content, and conceptualizing Power apps    Research Aid and Learning Tool:  - Gathering information on specific subjects like VA public information or medical guidelines.  - Finding synonyms or generating ideas for naming conventions in research contexts.  - Seeking deep insights into subject matter for personal knowledge enhancement or educational purposes    Amongst other similar tasks",Implementation and Assessment,Neither
VA-3119,Lyssn for Mental Health,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"To improve fidelity to evidence based practices in Behavioral Health, such as Motivational Interviewing. ","Lyssn uses AI algorithms to automatically generate clinical quality metrics from a recording (or  transcript) of a provider-patient session or appointment. Metrics range from general counseling  and patient-centered communication to fidelity to evidence-based counseling, including  Motivational Interviewing and Cognitive Behavioral Therapy.",Operation and Maintenance,Neither
VA-3131,SOMATOM go.Up; SOMATOM go.Now; SOMATOM go.All; SOMATOM go.Top; SOMATOM go.Sim; SOMATOM go.Open Pro; SOMATOM X.cite; SOMATOM X.ceed,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf23/K233650.pdf).,Operation and Maintenance,Both
VA-3164,"HCD User Feedback Summary, Analysis, and Design",VA,VHA: Veterans Health Administration,Health & Medical,,Summarizing the key points of a lengthy report using AI.,"The Human-Centered Design (HCD) team uses Large Language Models (LLMs) and custom agents to enhance user experience (UX) research. The primary purpose is to improve the usability, accessibility, and clarity of user feedback, providing a better understanding of the needs of Veterans and healthcare providers.","The AI system generates insights, such as user stories, personas, and workshop summaries, which are used to inform design decisions.",Operation and Maintenance,Neither
VA-3205,3M/Solventum 360 Encompass Computer Assisted Coding - Auto Suggestion,VA,VHA: Veterans Health Administration,Health & Medical,,Summarizing the key points of a lengthy report using AI.,"The intended purpose is to provide medical coder end users with suggested ICD 10, CPT, and HCPCS codes to select to be assigned/associated to an outpatient, inpatient or surgery encounter based on the provider's clinical documentation.  The expected benefit for the medical coder to gain efficiency in the medical coding process that results in more accurate and timely coding of encounters.","Suggested ICD 10 CM, ICD 10 PCS, CPT, and HCPCPS codes to a medical coder end user based on the clinical documentation the AI system reads.",Operation and Maintenance,Neither
VA-3213,Vivid iq,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf22/K221148.pdf),Operation and Maintenance,Both
VA-3254,Vivid E80/ Vivid E90/ Vivid E95,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220882.pdf).,Operation and Maintenance,Both
VA-3291,Payment Redirect Fraud (PRF) Model,VA,VBA: Veterans Benefits Administration,Government Services (includes Benefits and Service Delivery),,None of the Above,"Criminals make direct deposit (DD) changes to steal Veterans’ benefit payments. Most direct deposit changes are safe, but 1-2 out of 1,000 (.1% - .2%) are fraudulent. The goal of the Payment Redirect Fraud (PRF) model is to identify which DD changes are likely to be fraudulent and refer them to team investigators for review and remediation.",The model identifies referrals (Veterans) with the highest scores indicating likely fraudulent activity. The outputs include Veteran PII and associated direct deposit bank account information.  These outputs are in the form of an R data file and an Excel file.,Operation and Maintenance,Rights-impacting
VA-3295,"EchoPAC Software Only, EchoPAC Plug-In",VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220940.pdf).,Operation and Maintenance,Both
VA-3320,Using Partially Observed Markov Decision Process to Implement a Response to Intervention Framework for Veterans with Post-Traumatic Stress Disorder ,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,The Partially Observed Markov Decision Process (POMDP) model will be eligible to help clinicians to provide more personalized treatment to minimize or eliminate the PTSD symptoms in a short amount of time (thus costing less) and enable veterans to return to civilian life more quickly than the current practice,,Initiated,Both
VA-3324,Microsoft Power Automate and AI  ,VA,VHA: Veterans Health Administration,Transportation,,None of the Above,"To retrieve information from external facilities (SNF, CNH) in order to allow our facility (Veterans Transport Program) to facilitate scheduling of transport of eligible veterans to and from our facility or to community care appointments.","The AI program extracts information from a request form (pdf) attached to an email. The information is then populated in an Excel spreadsheet.  The data points include the date of request, date transport needed, name of requesting facility, person completing the form, Veteran's last name, first name and last 4, attendance needed, trip type, pick up time, appointment time, facility pick up address, appt location, destination address, oxygen needed, weight of patient.",Operation and Maintenance,Neither
VA-3365,IVC Access Transformation Transformative Care Modalities VA Health Connect Using Machine Learning to Evaluate First Contact Resolution (FCR),VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,For analytics purposes to generate performance metrics on First Contact Resolution for the Clinical Triage core service. Does not influence medical or critical decisions and does not use any sensitive Veteran data.,"The output of the model allows us to classify each clinical triage as resolved or not resolved, so that we can generate performance metrics on First Contact Resolution for the Clinical Triage core service.",Acquisition and/or Development,Neither
VA-3369,ECG system software,VA,VHA: Veterans Health Administration,Health & Medical,,Creating visual representations of data sets for reports and presentations using AI.,Commercially available software to assist with electrocardiogram interpretation,Produces an ECG tracing and provides reading on ECG parameters,Operation and Maintenance,Both
VA-3373,Avicenna ICH ,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,The function of the AI is to detect possible intracranial hemorrhage (ICH) on CT head exams to aid and expedite diagnosis.,The input is DICOM format CT head image data from VHA facilities that submit the exam to VHA National Teleradiology Program (NTP) for interpretation.  The output is DICOM object written to the NTP Picture Archive Communication System (PACS) for review by an interpreting VHA NTP Diagnostic Radiologist.  Future output will also include a DICOM structured report to the VHA NTP PACS Powerscribe dictation software.,Operation and Maintenance,Both
VA-3414,Densitas Density AI,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"The function of the AI is to incorporate quantitative mammographic density with the qualitative 4-category (A, B, C, D) breast density scale that aligns with the ACR BI-RADS Atlas 5th edition breast density scale.  The AI accounts for both the degree of mammographic density and the presence of localized areas of dense breast tissue to aid and expedite mammographic diagnosis.",The input is DICOM mammography image data from VHA facilities that submit digital mammogram exams to VHA National Teleradiology Program (NTP) for interpretation.  The output is DICOM object written to the NTP Picture Archive Communication System (PACS) for review by an interpreting VHA NTP Diagnostic Radiologist.  Future output will also include a DICOM structured report to the VHA NTP PACS Powerscribe dictation software.,Operation and Maintenance,Both
VA-3418,CLARUS,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf19/K191194.pdf).,Operation and Maintenance,Both
VA-3455,Riverain ClearRead CT,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"The function of the AI is to analyze CT chest exams and support identification and characterization of pulmonary nodules of all types (sold, part-solid, ground glass), especially for lung cancer screening exams.  The CT Vessel Suppress produces a secondary series of CT images, suppressing vessels and other normal structures within the lungs to improve conspicuity of pulmonary nodules.  ClearRead CT Compare extends detection by automatically matching nodules found in the current exam to the same nodule on a prior exam.

The AI is managed by VHA National Teleradiology Program (NTP) and is hosted in VA Enterprise Cloud (VAEC) or on-premise servers depending on the individual VISN/facility. ","The input is DICOM CT chest image data.   The output is DICOM object written to the PACS for review by an interpreting Diagnostic Radiologist.   Future output will also include a DICOM structured report to the voice recognition dictation software.  The AI is deployed by NTP for the use of the individual VISN and facility Radiologists interpreting the exam, or for NTP Radiologist use.",Operation and Maintenance,Both
VA-3488,Clinical Key | Elsevier ,VA,VHA: Veterans Health Administration,Health & Medical,,Searching for information using AI.,A search platform that clinicians can use when searching for current evidence- based medical practices. ,Summary of medical literature or answers to medical questions based on a search prompt.,Initiated,Both
VA-3492,ACS NSQIP Risk Score,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Clinical decision support by providing surgical risk assessment,Provides a surgical risk assessment for a patient based on a set of values input by a provider.,Operation and Maintenance,Both
VA-3496,Avicenna LVO,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"The function of the AI is to detect large vessel occlusion in the anterior intracranial circulation (distal Internal Carotid Artery, M1 and proximal M2 Middle Cerebral Artery) on Head CT Angiography exams to aid and expedite diagnosis.",The input is DICOM Head CT image data from VHA facilities that submit the exam to VHA NTP for interpretation.   The output is DICOM object written to the NTP Picture Archive Communication System (PACS) for review by the interpreting VHA NTP Diagnostic Radiologist.  Future output will also include a DICOM structured report to the VHA NTP PACS Powerscribe dictation software.,Implementation and Assessment,Both
VA-3500,Ysio Max,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf13/K133259.pdf).,Operation and Maintenance,Both
VA-3537,Transpara Breast Care,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"The function of the AI is to analyze digital mammograms to identify and characterize patterns of breast tissue suspicious for breast cancer, potentially identifying cancers more quickly and at an earlier stage.",The input is DICOM mammography image data from VHA facilities that submit mammography exams to VHA National Teleradiology Program (NTP) for interpretation.  The output is DICOM object written to the NTP PACS for review by an interpreting VHA NTP Diagnostic Radiologist.  Future output will also include a DICOM structured report to the VHA NTP PACS Powerscribe dictation software.,Implementation and Assessment,Both
VA-3541,"XIDF-AWS801, Angio Workstation (Alphenix Workstation), V9.5",VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf23/K232526.pdf).,Operation and Maintenance,Both
VA-3574,BlackBox Code research,VA,VHA: Veterans Health Administration,Mission-Enabling (internal agency support),,Creating visual representations of data sets for reports and presentations using AI.,"We do a lot of coding in various languages java, SQL, Mquery, DAX, Fx, python and R.  While being able to use this product and other products like ASkSage and ChatGPT.  It has had a lot of use in identifying code errors, improving performance of code to better load data in other systems in VA and providing insights on new ways to code in many programs. ","The AI system's outputs can be categorized into several types, depending on the task or question being addressed. Here are some examples:  Math and Logic Problems  Step-by-step solutions to math problems, including algebra, geometry, calculus, and other branches of mathematics Logical explanations and derivations for logic problems, including propositional and predicate logic Coding and Programming  Code snippets in various programming languages, such as Python, Java, C++, and JavaScript, with clear explanations and comments Detailed code reviews and suggestions for improvement Algorithmic solutions to programming challenges and problems Creative Writing and Role-Play  Original creative writing pieces, such as short stories, poems, or dialogues, in response to prompts or requests Engaging role-play scenarios, including character development and interactive storytelling Analysis and Discussion  In-depth analysis of topics, including scientific concepts, historical events, and cultural phenomena Well-structured and coherent arguments, with evidence and supporting examples Engaging discussions and debates on various topics, with respectful and open-minded dialogue Teaching and Explanation  Clear and concise explanations of complex concepts, broken down into manageable parts Step-by-step tutorials and guides for learning new skills or subjects Patient and supportive feedback, with suggestions for improvement and further learning General Discussion and Q&A  Concise and accurate answers to factual questions, with sources and references when available Engaging and respectful conversations on various topics, with active listening and thoughtful responses Overall, the AI system's outputs are designed to be informative, engaging, and helpful, with a focus on clarity, accuracy, and respect for the user's time and interests",Initiated,Neither
VA-3578,Synthetic Data Creation,VA,VBA: Veterans Benefits Administration,Education & Workforce,,None of the Above,"Synthetic (non-PII) test data creation, using Generative AI, at the scale and representation of the diverse characteristics of the beneficiary population necessary to support EDU UAT.  ",Synthetic beneficiary population data,Initiated,Neither
VA-3619,Billie GPT,VA,VBA: Veterans Benefits Administration,Education & Workforce,,None of the Above,Generative AI knowledge portal to support School Certifying Officials in addressing questions regarding VA education benefits and use of the Enrollment Manager System.,Generative AI response to the user query,Acquisition and/or Development,Neither
VA-3623,X100HT with Slide Loader with Full Field Peripheral Blood Smear (PBS) Application,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220013.pdf).,Operation and Maintenance,Both
VA-3664,WRDensity by Whiterabbit.ai,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf20/K202013.pdf).,Operation and Maintenance,Both
VA-3705,Workflow Box,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf18/K181572.pdf).,Operation and Maintenance,Both
VA-3738,BTSSS 3542 Review,VA,VHA: Veterans Health Administration,Government Services (includes Benefits and Service Delivery),,Inputting large amounts of data from paper forms into a digital system using AI.,"The intended purpose of the AI model is to streamline the claims processing workflow by automatically extracting relevant information from patient-filled paper forms and organizing the corresponding scans chronologically. This automation eliminates the tedious task of manually renaming and sorting files, significantly reducing the time staff spend on these activities. The expected benefits include a marked decrease in manual labor hours, leading to lower operational costs and minimizing the need for overtime. Ultimately, this efficiency allows staff to focus more on patient care and other critical tasks, improving overall workflow productivity.","The AI model outputs a renamed version of the original file, moving it to a designated SharePoint folder with the relevant information extracted from the patient form. Additionally, specific columns in the file are updated with data to facilitate easy sorting by dates. This streamlined process ensures quick access to organized claims information and enhances overall efficiency.",Implementation and Assessment,Neither
VA-3746,Withings Scan Monitor 2.0,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230812.pdf).,Operation and Maintenance,Both
VA-3775,HTM-LLM,VA,VHA: Veterans Health Administration,Mission-Enabling (internal agency support),,None of the Above,RAG chatbot using technical service manuals to aid Healthcare Technology Management staff in medical device maintenance and troubleshooting,Chatbot responses,Initiated,Neither
