2_use_case_name,summary_text
Machine Learning Image Classification,"The PLACE project aims to provide insights into historical and current environmental changes related to floods, droughts, and fires by employing machine learning, specifically random forest algorithms, for the classification of wetlands and soil moisture. This research seeks to quantify causal relationships related to wildfires, assisting land managers, planners, and researchers in their decision-making processes. Further documentation of outputs and DOI updates will occur as additional data becomes available."
Zero shot segmentation to expedite Quaternary geologic mapping,"The project aims to enhance the efficiency of Quaternary geologic mapping by applying zero-shot segmentation techniques, specifically through the adaptation of the Segment Anything Model for identifying geologic features. This approach seeks to reduce the reliance on manual GIS data input, thereby streamlining the creation of detailed geologic maps. Documentation of outputs is pending, with future updates planned once more data is collected from the submitter."
Inventorying landforms with convolutional neural networks,"The project focuses on utilizing convolutional neural networks to inventory landforms using high-resolution LiDAR-derived topographic data. This approach aims to enhance the identification of significant geological features, which are crucial for studying various scientific phenomena and natural hazards. Documentation of outputs is pending, with updates expected once further data is gathered."
Tracking wetlands and water movement across watersheds,"The project focuses on tracking wetlands and water movement across watersheds to improve predictions of flood and drought impacts by analyzing upstream surface water storage dynamics. It employs machine learning algorithms to classify satellite imagery and establish connections between daily river discharge, meteorology, and surface water dynamics. This initiative is funded by the USEPA, Office of Research and Development, with future outputs and use cases being updated as more data becomes available."
"Everglades-Flux, Digital Surveys","The Everglades-Flux project is developing a program that automatically processes Normalized Difference Vegetation Index images to provide accurate assessments of live vegetation. Additionally, it employs AI and machine learning techniques to fill in missing data. Documentation of outputs will be updated by the DOI once more data is received from the submitter."
Cooperative Agreement Oakridge National Lab-USGS Research:  Using Artificial Intelligence to Improve,"The project involves collaboration between Oakridge National Lab and USGS to enhance data management processes using artificial intelligence. Key objectives include developing algorithms for visualizing data in USGS and DOE ARM repositories, creating AI tools for standardized metadata generation, and automating FAIR data assessments to ensure long-term usability and accessibility of data. Overall, the aim is to reduce reliance on manual tasks and improve the efficiency of data management lifecycles."
Improved earthquake detection for research studies,"Deep learning techniques are being implemented to enhance earthquake detection, resulting in more comprehensive and high-resolution catalogs for research purposes. These catalogs will aid in understanding earthquake occurrences, rupture processes, and seismic hazards. Documentation of outputs is pending, with plans to update use cases after additional data collection."
Machine learning for tsunami source zones,"This project utilizes unsupervised machine learning to improve tsunami hazard analysis by accurately determining representative offshore earthquake ruptures based on tsunami wave heights. This approach aims to provide a transparent and consistent methodology for selecting tsunami source zones, addressing the computational demands of traditional methods. Further documentation of outputs will be updated once additional data is available."
Mendenhall postdoctoral fellow using machine learning,"A Mendenhall postdoctoral fellow is utilizing machine learning to predict the composition of seafloor massive sulfide deposits as part of the Global Marine Minerals Project. This work, funded following a successful proposal in 2023, is currently underway, with preparations for publications in progress. Documentation of outputs is pending until additional data is collected."
Critical Mineral Assessment with AI Support (CriticalMAAS),"The Critical Mineral Assessment with AI Support (CriticalMAAS) project aims to enhance the USGS's ability to produce high-quality assessments of critical minerals through an AI-assisted workflow. This approach is designed to mitigate exploration risk and aid in the strategic management of domestic resources. Documentation of outputs is pending, and the Department of the Interior plans to update use cases as more data becomes available."
Shoreline modeling,"The project aims to assess the effectiveness of AI/ML methods, such as LSTM, CNN, and Transformers, in predicting shoreline evolution and to compare their accuracy with traditional physics-based models. Documentation of outputs is pending further data collection, and the DOI will update the use cases accordingly."
Cell Phone Application for Oil Spill Detection,"The project aims to create a mobile application that utilizes image analysis to detect oil in environmental samples through cell phone photos. This tool is designed for quick deployment in the field by oil spill responders, enhancing their ability to assess contamination. Documentation of outputs will be updated once further data is gathered from users."
Wave runup and total water level observations from time series imagery at several sites with varying,"The project focuses on analyzing wave runup and total water levels through time series imagery at multiple sites using a segmentation tool to distinguish land from water. The generated masks facilitate the calculation of water levels, which will be compared against forecasted levels and may be featured on USGS webpages. Documentation of outputs is pending, and the DOI will revise use cases as further data is received from the submitter."
Development of a Ploidy Distinction Application: A Machine Learning Approach for Discriminating Trip,"A machine learning application is being developed to help fisheries personnel identify the ploidy of wild-caught invasive carp, specifically distinguishing between diploid and triploid Grass Carp. This approach utilizes digital imaging techniques, processing data from both a high-quality lab microscope and a portable field microscope, to enhance image resolution and improve accuracy. The computational model is trained on brightfield microscopic images of blood smears from known ploidy samples."
Storm Induced Erosion Response Network,"The Storm Induced Erosion Response Network aims to develop advanced forecasting models for Total Water Level and coastal changes caused by storms. This project will utilize innovative data analysis and predictive techniques to enhance understanding and response to coastal erosion and flooding events. Ultimately, it seeks to equip communities with better tools for managing and mitigating the impacts of extreme weather on coastal areas."
Coastal Ecosystem Prediction System,"The Coastal Ecosystem Prediction System is a collaborative project between USGS and NOAA designed to create a national framework for predicting the vulnerability of wetlands to sea level rise. By utilizing multi-model ensemble predictions, the project aims to provide insights into potential future conditions, ultimately aiding in the protection of coastal communities, economies, and natural resources."
National Wildlife Disease Database,"The National Wildlife Health Center has engaged the Pacific Northwest National Laboratory to develop a comprehensive National Wildlife Disease Database, funded by the American Rescue Plan Act of 2021. This database will compile diverse wildlife health data streams, enhancing situational awareness and analytics for natural resource authorities. The integration of PNNL's Canvas software will facilitate the visualization and contextualization of information from these data sources."
Sediment Transport in Coastal Environments (funded by San Francisco Bay-Delta PES),"The project on Sediment Transport in Coastal Environments, funded by San Francisco Bay-Delta PES, focuses on utilizing machine learning for time-series imputation of oceanographic data. Current outputs have not been documented, but a DOI will be updated with use cases as additional data becomes available from the submitter."
"Machine learning based shoreline time-series imputation, classification and forecasting (time-series","The project focuses on utilizing machine learning for shoreline time-series imputation, classification, and forecasting to enhance data generation and quality control processes. It aims to facilitate large-scale and short-term predictions of shoreline trends. Documentation of outputs is pending, and a DOI will be updated based on further data collection from the submitter."
National Oceanographic Partnership Program (NOPP),"The National Oceanographic Partnership Program (NOPP) focuses on using machine learning techniques to assess and predict coastal sediments. Although outputs have not yet been documented, the Digital Object Identifier (DOI) will be updated with relevant use cases following the collection of additional data from the submitter."
RSCC and TCA projects.,"The RSCC and TCA projects focus on utilizing machine learning methods to identify, assess, and quantify coastal features, habitats, and hazards related to coastal change. Outputs from these projects are currently undocumented, and the Digital Object Identifier (DOI) will be updated with relevant use cases once more data is acquired from the submitter."
Machinine Learning based shoreline detection and sea ice dynamics using coastal cameras,The project utilizes machine learning algorithms to detect shorelines and analyze sea ice dynamics through coastal cameras. It focuses on generating and ensuring quality control of data for forecasting shoreline trends and sea ice behavior in coastal areas. Future updates will document the outputs and use cases once more data is obtained.
Using Machine Learning in USGS StreamStats to make suspended sediment and bedload predictions,"The project utilizes machine learning within USGS StreamStats to predict suspended sediment and bedload in Minnesota rivers, serving as a resource for managers lacking sampling data. Current outputs are undocumented, and the Department of the Interior will revise usage cases once further data is obtained from the submitter."
Merbok Supplemental,"The Merbok Supplemental project focuses on using machine learning for shoreline detection and mapping while automating data suitability analyses from satellite imagery. Outputs from the project have yet to be documented, and the DOI plans to update the use cases once more data is gathered from the submitter."
Annual National Land Cover Database Deep Learning,"The project focuses on utilizing geospatial artificial intelligence techniques to create annual maps of land cover and surface characteristics across the nation. Outputs have not yet been documented, and a DOI will provide updates on use cases as more data is collected from the contributor."
"Event and sequence (life-stage, behavior, activity, movement modality) identification, segmentation,","The project focuses on identifying and segmenting events and sequences related to animal movements and behaviors, including life stages, activities, and movement modalities. By analyzing complex data streams, the project aims to uncover biological patterns and processes that are not easily observed in remotely tracked animals, requiring the integration of multiple tools to comprehensively represent these behaviors."
Data-driven approaches to filling missing time-series data within the San Francisco Bay-Delta,"The project focuses on developing data-driven techniques to address gaps in environmental time-series data collected from the San Francisco Bay-Delta, particularly in turbidity measurements. Utilizing various methods, including linear regression and machine learning, the aim is to fill these gaps while quantifying the uncertainty in the estimates. The project is crucial for improving the long-term observational records that inform water-quality assessments and ecological health in the estuary."
Seabird and Marine Mammal Surveys Near Potential Renewable Energy Sites Offshore Central and Souther,"The USGS WERC team is utilizing advanced machine learning techniques to automate the detection and counting of seabirds and marine mammals using digital imagery near potential offshore renewable energy sites. The project aims to enhance monitoring efforts, although specific outputs have yet to be documented and will be updated once more data is collected."
Data-driven approaches to filling missing time-series data within the San Francisco Bay-Delta,"The project focuses on developing data-driven techniques to address gaps in environmental time-series data collected from the San Francisco Bay-Delta, particularly in turbidity measurements. Utilizing various methods, including linear regression and machine learning, the aim is to fill these gaps while quantifying the uncertainty in the estimates. The project is crucial for improving the long-term observational records that inform water-quality assessments and ecological health in the estuary."
Image classification from images on robotic platforms,"The project focuses on image classification to identify different terrains using robotic platforms through a tool trained on labeled images. Originally developed for NASA Mars rovers, the application has potential uses in various other contexts. Documentation of the outputs is pending, and use cases will be updated once additional data is received from the submitter."
ChatGPT to write Python scripts for ArcGIS Pro Maps to be CVD-Friendly,"The project aims to automate the color adjustment of planetary geologic map units in ArcGIS Pro to make them friendly for individuals with color vision deficiencies. By utilizing ChatGPT, scripts will be generated to streamline this formerly tedious manual process. The outputs from this initiative are currently undocumented, and updates will follow once more data is gathered from participants."
Analytical Chemistry & Geologic Resources Identification from Laser Spectroscopy,"The project focuses on using laser spectroscopy to identify and analyze the composition of geological, mineral, and resource targets. Currently, the outputs of the research have not been documented, but a DOI will be updated with use cases once further data is gathered from the submitter."
Analytical Chemistry & Geologic Resources Identification from X-rays,"The project focuses on identifying chemical compositions and rock characteristics using X-ray-based analytical chemistry techniques. While outputs have not yet been documented, updates to the use cases will be provided once more data is gathered from contributors."
Retrieval-Augmented Generation Using USGS Documentation,"This project aims to develop a Retrieval-Augmented Generation (RAG) model utilizing USGS documentation to create an internal chatbot. The chatbot will be designed to access and provide information based on internal USGS resources, enhancing knowledge management within the organization. The project seeks to explore the effectiveness and accuracy of generative AI solutions in specialized documentation contexts."
Foundation Models to Advance Earth Science,"The project aims to enhance knowledge of Earth's conditions and processes through the creation and implementation of generalist AI models, known as Foundation Models, which are trained on Earth Observations from various sensors. These models will provide valuable insights for scientists and land management professionals, contributing to advancements in both Earth science and AI research. Documentation of outputs is pending, with updates expected once further data is collected."
Rangeland Condition Monitoring Assessment and Projection (RCMAP),"The Rangeland Condition Monitoring Assessment and Projection (RCMAP) project aims to track long-term vegetation changes in U.S. rangelands, which are vital for wildlife habitat, livestock forage, and water resources. Developed by the USGS and Bureau of Land Management, RCMAP generates annual maps detailing the percent cover of various rangeland components using field data, Landsat imagery, and machine learning techniques. This project provides crucial references for assessing landscape health and advancing ecological science within the BLM."
Global Food Security-Support Analysis Data (GFSAD) Project,"The Global Food Security-Support Analysis Data (GFSAD) Project aims to address the challenges of food and water security exacerbated by climate change, population growth, and recent global crises by producing accurate global cropland products at a fine spatial resolution of 30 meters. Utilizing machine learning algorithms, artificial intelligence, and satellite data analytics, the project will generate four distinct Landsat-derived cropland products, including assessments of crop extent, irrigation, cropping intensity, and crop types across specific regions. The GFSAD data will be made available through NASA's LP DAAC, enhancing research and decision-making related to agricultural sustainability."
Extracting analysis ready information from narrative geologic descriptions,"The project aims to extract analysis-ready information from the narrative descriptions of geologic maps in the USGS geologic mapping group. By utilizing a web interface with DOI-hosted ChatGPT, the team plans to systematically parse details such as rock unit thickness and associated analytical measurements from approximately 10,000 geologic descriptions. The extracted information will be evaluated for accuracy by comparing it against human-derived extractions, with a focus on improving accessibility and usability of the geologic map synthesis database."
21st Century Prospecting: AI-assisted Surveying of Critical Mineral Potential,"The project ""21st Century Prospecting: AI-assisted Surveying of Critical Mineral Potential"" is a collaboration between the USGS Mineral Resources Program and DARPA, aimed at enhancing the understanding and assessment of critical mineral resources in the United States. By utilizing large language models, the initiative focuses on extracting valuable information from scanned geological maps and mining reports to support national mineral security. Outputs are currently being documented, and updates will be provided as more data becomes available."
Articulate Training Develpment AI Add On,"The Office of Emergency Management's Interior Operations Center utilizes Articulate to develop online training courses for its staff. The introduction of an AI add-on will streamline the course creation and editing process, providing realistic text-to-speech capabilities and future assistance with course content development."
Machine Learning Applied to Geotechnical Engineering: Statistical Methods Applied to Seismic Analysis 1,"The project focuses on developing machine learning models to predict soil liquefaction during seismic events, using a geotechnical case history database for validation. This approach aims to provide geotechnical professionals with an additional tool for assessing liquefaction potential, thereby simplifying the evaluation process and reducing reliance on more complex methods."
Machine Learning Applied to Geotechnical Engineering: Statistical Methods Applied to Seismic Analysis 1,"The project develops machine learning models to predict the crest movement of embankment dams during seismic events. The primary goal is to create a screening-level tool that aids in the early assessment of potential deformation, allowing for more informed decisions before investing in extensive field exploration and testing."
Machine Learning Working Group,"The Machine Learning Working Group is focused on networking with Reclamation employees to assess their experience and interest in developing machine learning models, while also documenting potential applications for addressing daily challenges faced by the staff. This initiative aims to enhance understanding of existing in-house capabilities and explore how machine learning can effectively solve relevant problems. Currently, discussions and information gathering are ongoing, with outputs to be updated once additional data is collected."
Machine Learning for Chemical Savings at Reverse Osmosis Plants,"The project utilized machine learning techniques to optimize chemical usage for cleaning membranes in reverse osmosis (RO) water treatment plants, funded by Reclamation's Desalination and Water Purification Research Program. By analyzing water chemistry data, the project aimed to reduce chemical consumption per unit of water produced without compromising operational performance or membrane longevity. Implemented in full-scale facilities in Southern California, the project showcased the effectiveness of machine learning in enhancing cleaning frequency for RO systems."
Machine Learning Refines Quagga Habitat Suitability,The project focuses on refining habitat suitability models for quagga mussels by using machine learning techniques. Researchers collected and analyzed ecological data from 20 stations in Arizona between 2021 and 2023 to differentiate between invaded and uninvaded waterbodies based on water conditions and plankton taxa. The findings aim to enhance the understanding of quagga mussel invasiveness in pH- and calcium-suitable environments.
Generative AI to Improve Visitor Experience on NPS.gov,"This project leverages generative AI to enhance the visitor experience on NPS.gov by extracting relevant information from the NPS website and API based on user interests. The proof of concept aims to enrich existing structured data without necessitating the creation of new content by park services, ultimately reducing the time and labor costs associated with content reproduction."
Autonomous Drone Inspections,"BSEE has partnered with MIT Lincoln Laboratory to develop autonomous drone technologies for inspecting hard-to-reach areas on the Outer Continental Shelf. This research will enhance BSEE's inspection capabilities by leveraging NASA's corrosion models to assess corrosion levels, platform accessibility, and methane leaks during inspections. The project's goal is to improve safety and efficiency in offshore inspections through advanced sensor technologies."
Well Activity Report Classification,The project focuses on utilizing Masked Language Models and Convolutional Deep Neural Networks to classify significant well events derived from Well Activity Reports. It aims to develop a systematic approach for determining the classification of significant events that should be reported in these documents.
Level 1 Survey Report Corrosion Level Classification,"BSEE conducts annual Level 1 surveys for offshore platforms to assess structural integrity and corrosion, with reports submitted for manual review. To streamline this review process, BSEE is collaborating with NASA to develop a machine learning model that identifies potential mislabeling of corrosion levels in survey reports. The model has demonstrated promising accuracy, particularly in areas with severe corrosion, and will be further refined for integration into BSEE's operational workflows."
Well Risk Assessment,"NASA's Advanced Supercomputer Division is developing machine learning models to identify risk factors associated with wells, building on research into sustained casing pressure. This project aims to inform BSEE engineers about potential problems during the well's development stages by evaluating the precursors to sustained casing pressure and their contributions to overall well risk. The outcome will enhance the ability to assess well risk scores effectively."
Sustained Casing Pressure Identification,"The Sustained Casing Pressure Identification project aims to quickly identify wells experiencing sustained casing pressure (SCP) to mitigate safety risks associated with SCP, which can arise from gas migration or defects in well components. The Bureau of Safety and Environmental Enforcement (BSEE) partnered with NASA's Advanced Supercomputing Division to explore AI techniques for researching and predicting SCP issues in well platforms. This collaboration seeks to enhance the efficiency and accuracy of monitoring and addressing SCP problems."
ROV Smart Touch Subsea Pipeline Inspections,"The ""Smart Touch"" project, funded by BSEE and conducted by the University of Houston, is developing an advanced robotic system for subsea pipeline inspections. Utilizing Remote Operated Vehicles (ROVs) equipped with smart touch sensors, video cameras, and scanning sonars, the system autonomously detects flange loosening and pipeline leaks while enhancing efficiency and reducing human reliance. Collaborations with industry partners will aid in the system's development, testing, and commercialization."
Form Recognition model for Benefits Forms,The project involves the development of a custom machine learning model designed to extract data from complex benefits forms. The model processes input documents or scanned images and generates a JSON response containing key/value pairs that correspond to the field headers on the forms. The output of the AI system serves as a recommendation based on the extracted data.
Language Translation,"The project aims to develop an automated language translation system for unofficial documents, enabling quick and cost-effective translations. It leverages natural language processing models to facilitate the translation of published documents and websites into multiple languages."
Audio Transcription,The project focuses on converting speech into text for record-keeping purposes utilizing natural language processing models. It aims to provide accurate audio transcription to enhance data accessibility and organization.
Text to Speech Conversion,"The project focuses on developing a neural text-to-speech conversion system that utilizes natural language processing models to produce realistic, human-like audio output. This technology can be applied to enhance audio files for PowerPoint presentations, making them more engaging and easier to understand."
Claims Document Processing,The Claims Document Processing project focuses on developing custom natural language processing models to detect causal language in physician's notes. It includes ranking documents based on their relevance and highlighting sentences that may contain causal expressions. This approach aims to enhance the evaluation of claims documentation.
Website Chatbot Assistant,"The Website Chatbot Assistant provides users with basic information about the program, contact information, and updates on petition case statuses. It functions as a question and answer bot, relying on a predetermined set of questions and answers without utilizing AI for responses."
Data Ingestion of Payroll Forms,"The project involves developing a custom machine learning model for data ingestion from payroll forms. It extracts data from complex documents or scanned images, tagging entries to their corresponding field headers, and produces a JSON response containing key/value pairs."
Hololens,"The project utilizes Hololens technology to train inspectors in visually assessing unsafe areas from a secure location. AI assists in the training process by providing relevant images of these locations, enhancing the inspectors' ability to identify hazards effectively. This innovative approach prioritizes safety while maintaining inspection efficiency."
DOL Intranet Website Chatbot Assistant,The DOL Intranet Website Chatbot Assistant is a conversational AI tool designed to assist users with common procurement and specific contract inquiries. It leverages a knowledge base to provide accurate answers to user questions related to the Department of Labor's intranet resources.
Official Document Validation,The project focuses on utilizing AI technology to detect mismatched addresses and garbled text in official letters sent to benefits recipients. The outcome of this process is a recommendation for further review of the identified discrepancies.
Electronic Records Management,"The Electronic Records Management project aims to meet NARA metadata standards for permanent federal documents through the application of AI and NLP technologies. It focuses on identifying data within documents, classifying them, and summarizing their content to facilitate decision-making. The system ultimately enhances the management and accessibility of federal electronic records."
Call Recording Analysis,"The project involves the automatic transcription of recorded calls made to Benefits Advisors in the DOL Interactive Voice Response (IVR) center. While AI is utilized for transcribing the calls, it is not employed for any further analysis of the transcriptions. The primary output of the project is the transcribed text of the calls."
Automatic Document Processing,The project focuses on automating the processing of continuation of benefits forms by utilizing an AI tool. This tool is designed to extract data from pre-defined selection boxes in the forms for further analysis and processing.
Automatic Data Processing Workflow with Form Recognizer ,"The project focuses on automating the data processing workflow using Form Recognizer to efficiently extract required information. The AI system consolidates the extracted data for review, and a GPT model organizes this data into a spreadsheet for reconciliation."
Case Recording summarization,The project involves utilizing an open-source large language model to summarize publicly available case recording documents that do not contain personal identifiable information (PII) or sensitive data. The summaries generated by the model are reviewed by human note takers and are not hosted in the Department of Labor's technical environment.
OEWS Occupation Autocoder,"The OEWS Occupation Autocoder processes state-submitted response files containing occupation titles and job descriptions to assign up to two 6-digit Standard Occupational Classification (SOC) codes. It provides probability recommendations for human coders, and codes exceeding a specified threshold are added to the response files before being returned to the states to aid in SOC code assignment."
Scanner Data Product Classification,"The Bureau of Labor Statistics (BLS) is implementing a machine learning system to automate the classification of consumer goods data into Entry Level Item (ELI) codes, which were previously hand-coded by staff. This model uses word frequency counts from item descriptions and logistic regression to determine the most likely ELI category for each item. The automation is expected to enhance productivity, provide real-time results, and reduce costs, while still incorporating human review for classifications that do not meet a certain probability threshold."
Expenditure Classification Autocoder,"The Expenditure Classification Autocoder project aims to automate the assignment of expense descriptions reported by respondents of the Consumer Expenditure Diary Survey to specific item codes, or expenditure classification categories. This automation is expected to enhance productivity and achieve cost savings for the Bureau of Labor Statistics (BLS). The system will streamline the classification process, thereby improving overall efficiency in handling expenditure data."
Generative AI Assistant,"The Generative AI Assistant is a secure in-house solution designed to evaluate business use cases that leverage Generative AI models and semantic search. It addresses various problems through applications such as text summarization, text analysis, and document comparisons, while providing actionable recommendations."
Occupation Code Suggestion For Job Duties Data,"The project involves utilizing natural language processing and classification techniques to suggest appropriate occupation codes for job duties data. It aims to automate the process of assigning occupation codes, enhancing accuracy and efficiency in categorizing job roles."
Notice of Deficiency (NOD) Text Generation using Generative AI model,This project involves developing a custom Generative AI model to generate Notice of Deficiency (NOD) text tailored to specific input data. The focus is on utilizing natural language processing techniques to create accurate and relevant documentation efficiently.
PII Redaction,"The project involves using Amazon Web Services' Personal Identifying Information scrubber, along with Named Entity Recognition, to remove personal identifying information from ITA text fields. The output is a cleaned-up version of the input text with all sensitive information successfully redacted."
Website Chatbot Assistant,"The Website Chatbot Assistant provides users with essential information regarding the Workforce Recruitment Program, including relevant contacts for further inquiries. It generates content related to the WRP program to enhance user experience and facilitate communication."
Initial Determinations for incoming applications,"The project involves developing an AI tool to conduct an initial analysis of incoming 9141 and 9089 applications. This tool will determine if a Request for Information (RFI) is needed, either issuing the request automatically before case assignment or at the time of assignment, where an analyst can affirm the RFI. It will also identify cases that require an RFI."
AI Course Design Assistant,"The AI Course Design Assistant is a tool that recommends course structures, module titles, descriptions, and images using AI algorithms. It analyzes course content to quickly generate test questions and prompts for authentic assessments, streamlining the course design process. The product is designed for use with Blackboard and is offered as a commercial off-the-shelf solution without modifications."
Worker PLUS Microsimulation Program,"The Worker PLUS Microsimulation Program is an advanced version of the ACM model, used to simulate individual leave-taking behaviors and outcomes for workers, including the number of leaves, duration, benefit levels, and eligibility. It utilizes data from the five-year American Community Survey (ACS) Public Use Microdata Sample (PUMS) to create its simulations."
Computer-Assisted Coding: SOII Autocoder,"The SOII Autocoder is a transformer-based text classification model that automates the assignment of classification codes for the Survey of Occupational Injuries and Illnesses (SOII), handling narratives related to work-related injuries and illnesses. Since its inception in 2012 and expanded deployment, it achieved a 92% coding rate in 2022, with subsequent human validation. The model uses millions of labeled cases for training and operates internally via REST API within the BLS network, processing SOII and MSHA cases efficiently."
CFOI Record Matching,"The CFOI Record Matching program enhances the Census of Fatal Occupational Injuries (CFOI) by utilizing AI techniques, including natural language processing and record matching, to reconcile and enrich data from various sources like OSHA and QCEW. It employs random forest classifiers and TF-IDF vectors for effective data matching, producing periodic outputs for review by CFOI staff. This initiative aims to improve the completeness and accuracy of the data on work-related fatal injuries."
OIICS Coding,"The OIICS Coding project focuses on automating the assignment of Occupational Injury and Illness Classification codes to reduce the time required for manual coding. It aims to eliminate the estimated 65,500 labor hours needed for initial coding and the subsequent time for error correction, streamlining the process significantly."
AI Assisted coding -Microsoft GitHub Copilot,"Microsoft GitHub Copilot is an AI-assisted coding tool that automatically generates software code. This technology significantly reduces the time required for coding tasks, streamlining the development process for programmers."
CPS OTC Prediction,"The CPS OTC Prediction project utilizes Current Population Survey (CPS) data to estimate off-the-clock (OTC) hours worked by employees, enhancing the Bureau of Labor Statistics' productivity measures. A random forest model is employed to impute missing data regarding workers' compensation status to improve the accuracy of hours worked calculations. This innovative approach aims to refine the ratio of total hours worked to paid hours worked by leveraging various respondent characteristics for more precise predictions."
Sample Refinement: Frame API,"The Frame API enhances sample refinement for BLS establishment-based surveys by allowing fast retrieval and comparison of up-to-date Quarterly Census of Employment and Wages (QCEW) and Longitudinal Database (LDB) data. Utilizing TF-IDF vectors and cosine similarity, it checks for changes in company names, addresses, and unit descriptions, enabling efficient adjustments to survey samples. The SOII program uses this API to conduct over 20 refinement checks, producing reports to assist data collectors."
CE Interview Item Code Estimation,"The CE Interview Item Code Estimation project develops a custom machine learning model to predict expense classification categories for expenditures based on text descriptions from the Consumer Expenditure Interview Survey. The model aids economists by suggesting potential categories, thereby enhancing decision-making efficiency without directly assigning classifications. This approach aims to improve productivity in the review process."
CE Interview Imputations,"The project focuses on developing custom machine learning statistical models to replace missing expenditure values in the Consumer Expenditure Interview Survey, specifically when respondents indicate ""don't know"" or refuse to provide an amount. This modern approach enhances the statistical quality of imputed data compared to traditional methods, leading to more accurate expense reporting. The end goal is to produce reliable imputed expense amounts for analysis."
Note taking bot,The note-taking bot will summarize meeting transcripts by producing concise meeting notes. It will deliver both the full transcript and a summary that highlights key points and action items.
Determine Occupation Codes from Text (NIOCCS),The NIOCCS (Industry and Occupation Computerized Coding System) is a free tool provided by NIOSH that analyzes job descriptions to assign appropriate industry and occupation codes. This system streamlines the process of coding occupations based on text descriptions of job titles.
Camtasia,Camtasia is a software designed to enhance screen recordings and create video tutorials. It enables users to produce professional-quality videos efficiently and effectively.
Adobe Premier Pro,"Adobe Premiere Pro enhances the video editing process by automating complex tasks like scene detection, video reframing, and color grading through its integration with Adobe Sensei. This incorporation of AI components improves efficiency and provides creative tools that simplify editing tasks, ultimately assisting video editors in their work."
Audiate,"Audiate is an AI-driven platform specializing in speech-to-text transcription, text-based audio and video editing, and the creation of AI-generated scripts and audio. It also offers text-to-speech conversion and supports multilingual translation for text transcriptions from voice recordings."
SnagIT,"SnagIT offers tools for efficiently capturing, editing, and sharing visual content, including screenshots and screen recordings. Its features, such as Optional Character Recognition, SnagIT AI's Grab Text, and automatic captions and titles, enhance the ability to extract, reuse, and organize text from images."
Facebook Mobile App,"The Facebook Mobile App includes a feature that utilizes AI for enhanced user experience, specifically through MetaAI's search and chatbot capabilities. This feature assists with public relations and external communication from the Department, allowing users to interactively search for relevant topics and receive instant results. While AI is integrated, it is not the core technology of the app."
Google Authenticator Mobile App,"The Google Authenticator mobile app enhances online security by requiring a second verification step during sign-in, alongside the traditional password. It generates a unique code on the user's phone, which must be entered for secure login. This additional authentication method helps protect accounts from unauthorized access."
Google Maps Mobile App,"The Google Maps Mobile App enhances travel efficiency by providing real-time updates on traffic conditions, estimated travel times, and public transit information. It features automatic rerouting to avoid delays from incidents and closures. Additionally, the Live View function overlays navigational arrows on the user's surroundings to ensure accurate navigation."
Instagram Mobile App,"The Instagram mobile app allows users to share moments with friends through disappearing Stories and Notes, initiate group chats, and document memories in their Feed. Users can enhance their posts with customizable templates, music, stickers, and filters, while also discovering entertaining short videos through Reels. The platform emphasizes real-time communication and creative expression."
Microsoft Authenticator Mobile App,"The Microsoft Authenticator mobile app provides secure and convenient sign-in options for various online accounts through multi-factor authentication, passwordless access, and password autofill features. It also offers enhanced account management capabilities for Microsoft personal, work, or school accounts, along with authentication and random number generation functionalities."
Periscope Mobile App,"The Periscope mobile app will be discontinued on March 31, 2021, while the live video feature will be integrated into Twitter to maintain community engagement. This project emphasizes the importance of live video in enhancing communication and building vibrant communities."
X (formerly Twitter) Mobile App,"The X mobile app enables users to share content publicly, engage in conversations, and follow breaking news and personal interests. It offers features such as Community Notes for additional context, live audio and video streaming through Spaces, and private communication via Direct Messages. The app leverages natural language processing to enhance user communication and engagement."
Dragon Naturally Speaking,"Nuance Dragon Naturally Speaking is a speech recognition software that allows users to dictate documents, emails, and interact with various applications using their voice. It utilizes natural language processing (NLP) to convert spoken words into written text, enabling users to create content efficiently."
ZoomText and ZoomText Professional,"ZoomText Magnifier/Reader is a comprehensive software solution designed for individuals with low vision, offering both magnification and reading functionality. It incorporates text-to-speech capabilities to enhance accessibility and usability for users with visual impairments."
Visual Studio,"Visual Studio IDE is a versatile platform for writing, debugging, and building code, ultimately enabling users to publish applications. It offers a variety of outputs, including executable applications, libraries, and web applications, and features multiple versions to cater to different user needs. The integration of AI components enhances productivity, code quality, and collaboration for programmers and software engineers."
ABBYY FineReader,"ABBYY FineReader is an optical character recognition (OCR) system that converts scanned documents, PDF files, and image files into editable formats. The software extracts and recognizes text from input documents, outputting it as editable Word documents, Excel spreadsheets, searchable PDFs, or plain text files."
Google Earth Pro,"Google Earth Pro is a free desktop application that offers advanced GIS and mapping capabilities, allowing users to create maps, import and export GIS data, and access historical images. Users can explore a 3D representation of the Earth's surface, viewing high-resolution satellite imagery and 360° perspectives through Street View while collaborating on immersive, data-driven maps from anywhere."
Adobe Creative Cloud and Adobe Product Suite,"Adobe Creative Cloud and the Adobe Product Suite offer a diverse range of tools for creating and editing various forms of content, including motion graphics, audio, eLearning, and web development. Key software includes After Effects for visual effects, Audition for audio editing, Premiere Pro for video editing, and Photoshop for image creation, all enhanced by Adobe Sensei's AI capabilities. This comprehensive suite enables users to efficiently produce and manage high-quality creative assets across different media."
